,0.02,0.03,0.04,0.05,0.06,0.07,0.08,0.09
Ecoli1-trajectories,"ACC=0.62 , F1=0.46357989836250707 , TPR=0.5076608784473953 , FPR=0.49233912155260473","ACC=0.71 , F1=0.49783549783549785 , TPR=0.5183861082737486 , FPR=0.48161389172625135","ACC=0.76 , F1=0.5535714285714286 , TPR=0.5863125638406537 , FPR=0.41368743615934633","ACC=0.78 , F1=0.5686274509803921 , TPR=0.5975485188968335 , FPR=0.40245148110316653","ACC=0.77 , F1=0.5361968138737648 , TPR=0.552093973442288 , FPR=0.44790602655771194","ACC=0.83 , F1=0.5824121837386391 , TPR=0.5858018386108274 , FPR=0.41419816138917265","ACC=0.76 , F1=0.5294117647058824 , TPR=0.5464759959141982 , FPR=0.45352400408580185","ACC=0.71 , F1=0.5191510528933843 , TPR=0.5582226762002043 , FPR=0.44177732379979573"
Ecoli1-heterozygous,"ACC=0.74 , F1=0.5163690476190477 , TPR=0.5352400408580184 , FPR=0.46475995914198165","ACC=0.77 , F1=0.5076000856347678 , TPR=0.5122574055158324 , FPR=0.48774259448416757","ACC=0.74 , F1=0.49019607843137253 , TPR=0.49540347293156284 , FPR=0.5045965270684372","ACC=0.76 , F1=0.5016611295681063 , TPR=0.5066394279877426 , FPR=0.49336057201225736","ACC=0.75 , F1=0.46478270177692144 , TPR=0.46118488253319717 , FPR=0.5388151174668028","ACC=0.77 , F1=0.47428571428571425 , TPR=0.4724208375893769 , FPR=0.5275791624106231","ACC=0.77 , F1=0.47428571428571425 , TPR=0.4724208375893769 , FPR=0.5275791624106231","ACC=0.79 , F1=0.48415622697126015 , TPR=0.4836567926455567 , FPR=0.5163432073544433"
Ecoli1-null-mutants,"ACC=0.73 , F1=0.455535390199637 , TPR=0.44994892747701737 , FPR=0.5500510725229826","ACC=0.71 , F1=0.47377971330067137 , TPR=0.47854954034729313 , FPR=0.5214504596527069","ACC=0.77 , F1=0.5361968138737648 , TPR=0.552093973442288 , FPR=0.44790602655771194","ACC=0.77 , F1=0.5361968138737648 , TPR=0.552093973442288 , FPR=0.44790602655771194","ACC=0.79 , F1=0.550417469492614 , TPR=0.5633299284984679 , FPR=0.43667007150153214","ACC=0.78 , F1=0.5431893687707641 , TPR=0.5577119509703778 , FPR=0.44228804902962215","ACC=0.78 , F1=0.5431893687707641 , TPR=0.5577119509703778 , FPR=0.44228804902962215","ACC=0.78 , F1=0.5431893687707641 , TPR=0.5577119509703778 , FPR=0.44228804902962215"
Ecoli2-trajectories,"ACC=0.71 , F1=0.5191510528933843 , TPR=0.5274509803921569 , FPR=0.4725490196078431","ACC=0.69 , F1=0.4859890565412038 , TPR=0.4882352941176471 , FPR=0.5117647058823529","ACC=0.74 , F1=0.5393338058114813 , TPR=0.5450980392156862 , FPR=0.4549019607843138","ACC=0.7 , F1=0.53125 , TPR=0.5490196078431372 , FPR=0.4509803921568628","ACC=0.73 , F1=0.4846344722275243 , TPR=0.4843137254901961 , FPR=0.5156862745098039","ACC=0.74 , F1=0.49019607843137253 , TPR=0.49019607843137253 , FPR=0.5098039215686274","ACC=0.73 , F1=0.4846344722275243 , TPR=0.4843137254901961 , FPR=0.5156862745098039","ACC=0.75 , F1=0.4958661020367009 , TPR=0.496078431372549 , FPR=0.503921568627451"
Ecoli2-null-mutants,,,,,,,,
Ecoli2-heterozygous,,,,,,,,
Yeast1-null-mutants,,,,,,,,
Yeast1-heterozygous,,,,,,,,
Yeast1-trajectories,,,,,,,,
Yeast2-trajectories,,,,,,,,
Yeast2-null-mutants,,,,,,,,
Yeast2-heterozygous,,,,,,,,
Yeast3-heterozygous,,,,,,,,
Yeast3-null-mutants,,,,,,,,
Yeast3-trajectories,,,,,,,,
