,0.02,0.03,0.04,0.05,0.06,0.07,0.08,0.09
Ecoli1-trajectories,"ACC=0.52 , F1=0.49 , TPR=0.56 , FPR=0.44","ACC=0.66 , F1=0.59 , TPR=0.62 , FPR=0.38","ACC=0.66 , F1=0.57 , TPR=0.59 , FPR=0.41","ACC=0.68 , F1=0.58 , TPR=0.6 , FPR=0.4","ACC=0.62 , F1=0.52 , TPR=0.53 , FPR=0.47","ACC=0.66 , F1=0.52 , TPR=0.52 , FPR=0.48","ACC=0.68 , F1=0.56 , TPR=0.57 , FPR=0.43","ACC=0.68 , F1=0.56 , TPR=0.57 , FPR=0.43"
Ecoli1-heterozygous,"ACC=0.6 , F1=0.5 , TPR=0.52 , FPR=0.48","ACC=0.66 , F1=0.55 , TPR=0.55 , FPR=0.45","ACC=0.68 , F1=0.56 , TPR=0.57 , FPR=0.43","ACC=0.66 , F1=0.49 , TPR=0.49 , FPR=0.51","ACC=0.68 , F1=0.5 , TPR=0.5 , FPR=0.5","ACC=0.68 , F1=0.46 , TPR=0.47 , FPR=0.53","ACC=0.68 , F1=0.46 , TPR=0.47 , FPR=0.53","ACC=0.7 , F1=0.47 , TPR=0.48 , FPR=0.52"
Ecoli1-null-mutants,"ACC=0.68 , F1=0.6 , TPR=0.63 , FPR=0.37","ACC=0.64 , F1=0.53 , TPR=0.54 , FPR=0.46","ACC=0.68 , F1=0.56 , TPR=0.57 , FPR=0.43","ACC=0.68 , F1=0.56 , TPR=0.57 , FPR=0.43","ACC=0.72 , F1=0.59 , TPR=0.59 , FPR=0.41","ACC=0.7 , F1=0.55 , TPR=0.55 , FPR=0.45","ACC=0.7 , F1=0.55 , TPR=0.55 , FPR=0.45","ACC=0.7 , F1=0.55 , TPR=0.55 , FPR=0.45"
Ecoli2-trajectories,"ACC=0.52 , F1=0.47 , TPR=0.47 , FPR=0.53","ACC=0.56 , F1=0.49 , TPR=0.5 , FPR=0.5","ACC=0.6 , F1=0.52 , TPR=0.52 , FPR=0.48","ACC=0.6 , F1=0.52 , TPR=0.52 , FPR=0.48","ACC=0.56 , F1=0.45 , TPR=0.46 , FPR=0.54","ACC=0.58 , F1=0.47 , TPR=0.47 , FPR=0.53","ACC=0.6 , F1=0.48 , TPR=0.49 , FPR=0.51","ACC=0.62 , F1=0.49 , TPR=0.5 , FPR=0.5"
Ecoli2-null-mutants,"ACC=0.6 , F1=0.58 , TPR=0.62 , FPR=0.38","ACC=0.62 , F1=0.6 , TPR=0.63 , FPR=0.37","ACC=0.6 , F1=0.54 , TPR=0.54 , FPR=0.46","ACC=0.66 , F1=0.59 , TPR=0.59 , FPR=0.41","ACC=0.6 , F1=0.5 , TPR=0.5 , FPR=0.5","ACC=0.6 , F1=0.5 , TPR=0.5 , FPR=0.5","ACC=0.64 , F1=0.53 , TPR=0.53 , FPR=0.47","ACC=0.68 , F1=0.58 , TPR=0.58 , FPR=0.42"
Ecoli2-heterozygous,"ACC=0.62 , F1=0.56 , TPR=0.56 , FPR=0.44","ACC=0.62 , F1=0.54 , TPR=0.54 , FPR=0.46","ACC=0.6 , F1=0.5 , TPR=0.5 , FPR=0.5","ACC=0.54 , F1=0.42 , TPR=0.42 , FPR=0.58","ACC=0.56 , F1=0.43 , TPR=0.44 , FPR=0.56","ACC=0.6 , F1=0.45 , TPR=0.47 , FPR=0.53","ACC=0.64 , F1=0.51 , TPR=0.51 , FPR=0.49","ACC=0.64 , F1=0.51 , TPR=0.51 , FPR=0.49"
Yeast1-null-mutants,"ACC=0.74 , F1=0.61 , TPR=0.61 , FPR=0.39","ACC=0.76 , F1=0.62 , TPR=0.62 , FPR=0.38","ACC=0.8 , F1=0.66 , TPR=0.65 , FPR=0.35","ACC=0.8 , F1=0.66 , TPR=0.65 , FPR=0.35","ACC=0.76 , F1=0.59 , TPR=0.59 , FPR=0.41","ACC=0.76 , F1=0.59 , TPR=0.59 , FPR=0.41","ACC=0.76 , F1=0.59 , TPR=0.59 , FPR=0.41","ACC=0.76 , F1=0.59 , TPR=0.59 , FPR=0.41"
Yeast1-heterozygous,"ACC=0.7 , F1=0.62 , TPR=0.66 , FPR=0.34","ACC=0.72 , F1=0.59 , TPR=0.6 , FPR=0.4","ACC=0.72 , F1=0.53 , TPR=0.53 , FPR=0.47","ACC=0.78 , F1=0.61 , TPR=0.6 , FPR=0.4","ACC=0.7 , F1=0.41 , TPR=0.44 , FPR=0.56","ACC=0.72 , F1=0.42 , TPR=0.45 , FPR=0.55","ACC=0.76 , F1=0.43 , TPR=0.47 , FPR=0.53","ACC=0.76 , F1=0.43 , TPR=0.47 , FPR=0.53"
Yeast1-trajectories,"ACC=0.54 , F1=0.46 , TPR=0.49 , FPR=0.51","ACC=0.58 , F1=0.44 , TPR=0.44 , FPR=0.56","ACC=0.58 , F1=0.41 , TPR=0.4 , FPR=0.6","ACC=0.54 , F1=0.35 , TPR=0.34 , FPR=0.66","ACC=0.58 , F1=0.41 , TPR=0.4 , FPR=0.6","ACC=0.58 , F1=0.41 , TPR=0.4 , FPR=0.6","ACC=0.56 , F1=0.36 , TPR=0.35 , FPR=0.65","ACC=0.56 , F1=0.36 , TPR=0.35 , FPR=0.65"
Yeast2-trajectories,"ACC=0.7 , F1=0.7 , TPR=0.7 , FPR=0.3","ACC=0.66 , F1=0.65 , TPR=0.66 , FPR=0.34","ACC=0.64 , F1=0.62 , TPR=0.64 , FPR=0.36","ACC=0.58 , F1=0.55 , TPR=0.58 , FPR=0.42","ACC=0.64 , F1=0.61 , TPR=0.64 , FPR=0.36","ACC=0.6 , F1=0.57 , TPR=0.6 , FPR=0.4","ACC=0.58 , F1=0.54 , TPR=0.58 , FPR=0.42","ACC=0.62 , F1=0.57 , TPR=0.62 , FPR=0.38"
